country,region,year,industry,gas_type,emissions_mt
South Korea,Asia,2022,Waste,Sf6,0.278
Mexico,North America,2002,Transport,Co2,98.211
South Korea,Asia,2023,Waste,Ch4,15.89
China,Asia,2005,Manufacturing,Sf6,123.526
United Kingdom,Europe,2008,Manufacturing,Sf6,2.675
China,Asia,2001,Manufacturing,Sf6,123.526
South Africa,Africa,2004,Transport,N2O,6.049
Mexico,North America,2001,Energy,Hfcs,4.296
Mexico,North America,2010,Waste,Sf6,0.282
Brazil,South America,2015,Waste,Hfcs,0.391
Indonesia,Asia,2007,Energy,Sf6,7.184
China,Asia,2011,Buildings,Ch4,123.526
France,Europe,2018,Transport,N2O,8.857
Germany,Europe,2008,Land Use,Sf6,0.1
Russia,Europe,2017,Land Use,N2O,13.447
South Africa,Africa,2022,Waste,Ch4,15.171
South Korea,Asia,2021,Manufacturing,Hfcs,25.755
France,Europe,2002,Transport,Co2,90.581
Australia,Oceania,2002,Waste,Sf6,0.188
South Korea,Asia,2002,Waste,Co2,4.011
China,Asia,2009,Industrial Processes,Hfcs,104.371
Indonesia,Asia,2008,Industrial Processes,Sf6,1.545
Mexico,North America,2009,Transport,N2O,12.571
Mexico,North America,2018,Land Use,Hfcs,0.637
Brazil,South America,2004,Transport,N2O,13.369
France,Europe,2017,Industrial Processes,Co2,1.343
Indonesia,Asia,2008,Land Use,Sf6,2.051
United Kingdom,Europe,2009,Waste,Co2,2.04
Germany,Europe,2001,Buildings,N2O,11.705
South Africa,Africa,2008,Manufacturing,Hfcs,7.319
Indonesia,Asia,2007,Waste,Ch4,27.797
South Korea,Asia,2017,Energy,Sf6,5.877
Australia,Oceania,2015,Waste,Sf6,0.199
China,Asia,2008,Agriculture,Co2,123.526
United States,North America,2020,Waste,Ch4,83.947
China,Asia,2020,Agriculture,N2O,123.526
India,Asia,2001,Manufacturing,Hfcs,69.094
Russia,Europe,2015,Land Use,Sf6,0.404
China,Asia,2015,Agriculture,Hfcs,67.217
United States,North America,2008,Energy,N2O,89.429
South Korea,Asia,2006,Waste,Hfcs,0.228
United Kingdom,Europe,2023,Land Use,Ch4,0.495
Russia,Europe,2000,Land Use,Hfcs,1.72
Indonesia,Asia,2021,Agriculture,Co2,23.343
Germany,Europe,2008,Energy,N2O,10.289
Japan,Asia,2021,Agriculture,Ch4,21.905
Russia,Europe,2009,Land Use,Sf6,0.386
Germany,Europe,2020,Energy,Hfcs,4.207
Canada,North America,2023,Land Use,Co2,5.577
Germany,Europe,2006,Land Use,Ch4,1.417
Australia,Oceania,2013,Agriculture,Hfcs,3.061
France,Europe,2018,Energy,N2O,3.905
France,Europe,2008,Buildings,Sf6,0.665
Germany,Europe,2009,Land Use,Ch4,1.265
Russia,Europe,2007,Land Use,Hfcs,1.523
France,Europe,2021,Agriculture,N2O,15.006
India,Asia,2013,Agriculture,N2O,123.526
South Africa,Africa,2004,Manufacturing,Sf6,3.172
India,Asia,2002,Waste,Sf6,2.305
Indonesia,Asia,2005,Industrial Processes,Ch4,0.475
Brazil,South America,2004,Energy,Hfcs,5.136
Indonesia,Asia,2000,Manufacturing,Hfcs,6.496
Russia,Europe,2005,Land Use,Ch4,7.555
Russia,Europe,2021,Energy,Sf6,17.217
China,Asia,2008,Manufacturing,Co2,123.526
Canada,North America,2018,Energy,Hfcs,7.362
United Kingdom,Europe,2002,Agriculture,Sf6,0.423
Canada,North America,2019,Land Use,Co2,5.749
South Korea,Asia,2005,Waste,N2O,3.96
Mexico,North America,2009,Agriculture,Hfcs,2.776
Russia,Europe,2011,Agriculture,Sf6,2.056
Russia,Europe,2005,Waste,N2O,9.803
Japan,Asia,2002,Land Use,Sf6,0.1
France,Europe,2010,Manufacturing,Hfcs,1.739
Australia,Oceania,2021,Buildings,N2O,3.831
Australia,Oceania,2023,Industrial Processes,Hfcs,2.509
Japan,Asia,2008,Buildings,Sf6,1.073
Mexico,North America,2023,Waste,Co2,6.321
Japan,Asia,2014,Industrial Processes,Ch4,0.474
South Korea,Asia,2005,Energy,Sf6,4.592
United States,North America,2019,Agriculture,Ch4,123.526
Japan,Asia,2015,Land Use,Sf6,0.1
Indonesia,Asia,2010,Industrial Processes,N2O,1.098
Russia,Europe,2013,Industrial Processes,N2O,1.953
Mexico,North America,2002,Waste,Ch4,14.004
France,Europe,2001,Industrial Processes,N2O,0.429
United States,North America,2005,Transport,Ch4,84.128
United States,North America,2012,Agriculture,Ch4,123.526
Germany,Europe,2013,Industrial Processes,N2O,1.147
Germany,Europe,2016,Transport,Sf6,1.17
Indonesia,Asia,2013,Manufacturing,Co2,57.437
Canada,North America,2002,Energy,Hfcs,7.752
Germany,Europe,2003,Agriculture,Ch4,29.574
India,Asia,2000,Buildings,Hfcs,45.565
Russia,Europe,2014,Industrial Processes,Hfcs,4.785
Brazil,South America,2001,Buildings,Ch4,1.349
South Africa,Africa,2008,Energy,N2O,11.137
United States,North America,2009,Waste,N2O,27.248
France,Europe,2023,Manufacturing,Ch4,1.284
France,Europe,2014,Energy,Hfcs,2.395
Brazil,South America,2013,Energy,N2O,9.361
United States,North America,2006,Transport,Hfcs,60.976
Mexico,North America,2016,Energy,Hfcs,5.108
China,Asia,2010,Buildings,Sf6,13.399
China,Asia,2013,Land Use,Sf6,7.062
India,Asia,2000,Land Use,Sf6,1.134
Mexico,North America,2013,Transport,Hfcs,4.96
Australia,Oceania,2008,Manufacturing,Hfcs,5.197
Mexico,North America,2002,Land Use,Sf6,0.137
Australia,Oceania,2010,Land Use,Ch4,3.184
Indonesia,Asia,2021,Agriculture,Hfcs,9.715
South Africa,Africa,2009,Energy,N2O,12.17
Russia,Europe,2004,Buildings,Hfcs,19.749
Russia,Europe,2000,Industrial Processes,Sf6,2.905
Australia,Oceania,2009,Buildings,N2O,3.342
Germany,Europe,2008,,Hfcs,7.128
Brazil,South America,2015,Industrial Processes,Sf6,1.608
Japan,Asia,2009,Buildings,Co2,59.624
South Africa,Africa,2012,Industrial Processes,Ch4,0.238
Australia,Oceania,2015,Transport,Hfcs,3.531
China,Asia,2014,Agriculture,Hfcs,70.62
Indonesia,Asia,2007,Industrial Processes,Sf6,1.352
Brazil,South America,2020,Industrial Processes,Hfcs,2.619
United Kingdom,Europe,2014,Manufacturing,Co2,26.729
Japan,Asia,2022,Agriculture,N2O,11.365
Russia,Europe,2010,Industrial Processes,Co2,8.96
South Korea,Asia,2006,Waste,N2O,3.979
Mexico,North America,2011,Transport,N2O,12.893
India,Asia,2019,Agriculture,N2O,123.526
Canada,North America,2010,Waste,Ch4,17.815
United States,North America,2015,Buildings,Hfcs,93.87
China,Asia,2001,Waste,Hfcs,4.846
India,Asia,2017,Transport,Sf6,8.179
Germany,Europe,2022,Manufacturing,Hfcs,10.053
Brazil,South America,2020,Manufacturing,Ch4,7.333
United Kingdom,Europe,2000,Waste,Ch4,8.224
South Africa,Africa,2007,Land Use,Sf6,0.1
India,Asia,2013,Manufacturing,Co2,123.526
United States,North America,2015,Industrial Processes,Co2,23.513
France,Europe,2012,Waste,Co2,1.894
South Korea,Asia,2023,Energy,N2O,16.946
Canada,North America,2021,Manufacturing,Hfcs,7.489
Indonesia,Asia,2019,Energy,Sf6,8.654
Australia,Oceania,2003,Transport,Hfcs,3.563
China,Asia,2006,Transport,Co2,123.526
Russia,Europe,2004,Manufacturing,Sf6,19.07
Australia,Oceania,2014,Energy,Ch4,40.759
France,Europe,2011,Industrial Processes,Sf6,0.539
France,Europe,2008,Agriculture,Sf6,0.665
France,Europe,2015,,N2O,7.128
United Kingdom,Europe,2022,Energy,Ch4,14.888
Brazil,South America,2018,Waste,N2O,7.976
Brazil,South America,2014,Transport,Co2,107.166
China,Asia,2016,Land Use,Hfcs,30.085
Russia,Europe,2011,Energy,Hfcs,26.472
Germany,Europe,2013,Transport,,7.128
Indonesia,Asia,2006,Industrial Processes,Co2,4.423
Canada,North America,2010,Land Use,N2O,5.363
Russia,Europe,2010,Waste,N2O,9.757
Canada,North America,2002,Waste,Sf6,0.292
India,Asia,2012,Waste,Co2,67.527
Mexico,North America,2008,Industrial Processes,N2O,0.512
Canada,North America,2023,Transport,Ch4,8.374
Mexico,North America,2003,Manufacturing,Co2,46.078
South Africa,Africa,2018,Manufacturing,Sf6,3.533
France,Europe,2010,Waste,Hfcs,0.111
Canada,North America,2014,Transport,Sf6,1.844
Germany,Europe,2003,Energy,Co2,123.526
France,Europe,2005,Industrial Processes,N2O,0.374
Japan,Asia,2001,Waste,Ch4,20.849
Canada,North America,2002,Industrial Processes,Sf6,2.394
Japan,Asia,2010,Waste,Hfcs,0.301
India,Asia,2002,Industrial Processes,Ch4,3.518
Canada,North America,2014,Energy,Ch4,45.446
Germany,Europe,2016,Buildings,Sf6,0.897
Canada,North America,2021,Industrial Processes,Sf6,2.032
Brazil,South America,2009,Waste,Hfcs,0.371
Mexico,North America,2015,Land Use,Hfcs,0.662
United States,North America,2011,Waste,N2O,31.106
Mexico,North America,2011,Land Use,Sf6,0.159
Russia,Europe,2017,Industrial Processes,Co2,8.75
India,Asia,2016,Industrial Processes,Ch4,5.847
South Korea,Asia,2014,Energy,Ch4,57.635
Mexico,North America,2000,Industrial Processes,N2O,0.517
United States,North America,2011,Agriculture,Hfcs,17.969
China,Asia,2002,Land Use,Sf6,4.419
Mexico,North America,2021,Industrial Processes,Hfcs,1.63
Russia,Europe,2015,Waste,Hfcs,0.605
China,Asia,2005,Land Use,Co2,123.526
South Africa,Africa,2001,Agriculture,N2O,19.501
,South America,2014,Agriculture,N2O,7.128
United Kingdom,Europe,2012,Land Use,Ch4,0.615
Germany,Europe,2013,Waste,N2O,4.11
United States,North America,2014,Energy,Co2,123.526
Australia,Oceania,2018,Buildings,Sf6,3.65
China,Asia,2005,Agriculture,Sf6,12.58
Mexico,North America,2021,Waste,N2O,5.269
Canada,North America,2004,Land Use,N2O,4.899
Russia,Europe,2018,Buildings,Hfcs,19.679
India,Asia,2014,Transport,N2O,83.93
Canada,North America,2022,Buildings,Ch4,12.218
Canada,North America,2006,Waste,N2O,5.215
India,Asia,2006,Buildings,N2O,35.829
Germany,Europe,2007,Transport,Hfcs,5.374
Brazil,South America,2020,Manufacturing,N2O,6.619
Mexico,North America,2000,Waste,Co2,5.171
India,Asia,2016,Waste,Co2,74.281
United Kingdom,Europe,2015,Waste,Hfcs,0.1
Canada,North America,2023,Buildings,N2O,8.377
Canada,North America,2017,Energy,Ch4,49.682
Indonesia,Asia,2012,Industrial Processes,N2O,1.136
Germany,Europe,2006,Agriculture,Sf6,0.621
France,Europe,2010,Agriculture,Co2,6.194
Germany,Europe,2002,Waste,Hfcs,0.291
Australia,Oceania,2010,Industrial Processes,Co2,4.768
Russia,Europe,2018,Industrial Processes,Co2,8.75
Germany,Europe,2020,Land Use,N2O,1.801
Australia,Oceania,2021,Land Use,N2O,5.308
United States,North America,2013,Manufacturing,Hfcs,61.966
Brazil,South America,2010,Manufacturing,N2O,6.463
Australia,Oceania,2014,Land Use,N2O,5.769
Germany,Europe,2001,Agriculture,Ch4,29.574
Russia,Europe,2014,Manufacturing,Co2,123.526
Indonesia,Asia,2013,Energy,Sf6,7.999
,Europe,2015,Buildings,Ch4,7.128
India,Asia,2003,Manufacturing,Co2,123.526
France,Europe,2013,Waste,Sf6,0.102
India,Asia,2003,Manufacturing,Hfcs,71.536
India,Asia,2023,Transport,Hfcs,43.683
South Africa,Africa,2001,Agriculture,Hfcs,2.678
,Europe,2013,Waste,Hfcs,7.128
Germany,Europe,2012,Industrial Processes,Co2,5.745
South Korea,Asia,2020,Energy,Co2,123.526
Indonesia,Asia,2002,Agriculture,Co2,16.106
Canada,North America,2016,Transport,Sf6,1.76
France,Europe,2001,Agriculture,Co2,7.467
China,Asia,2012,Energy,Hfcs,123.526
South Africa,Africa,2004,Agriculture,Co2,6.918
France,Europe,2000,Waste,Hfcs,0.132
Germany,Europe,2005,Energy,Co2,123.526
Brazil,South America,2009,Transport,Hfcs,4.806
Mexico,North America,2002,Manufacturing,N2O,6.901
Indonesia,Asia,2009,Agriculture,N2O,47.662
Brazil,South America,2018,Transport,Ch4,7.796
United Kingdom,Europe,2004,Agriculture,N2O,11.567
France,Europe,2019,Buildings,Ch4,7.606
Japan,Asia,2009,Buildings,Hfcs,15.153
Canada,North America,2015,Buildings,N2O,8.607
France,Europe,2011,Waste,N2O,1.848
South Africa,Africa,2015,Industrial Processes,Ch4,0.262
South Korea,Asia,2012,Energy,Ch4,51.151
South Korea,Asia,2021,Energy,Sf6,6.508
Mexico,North America,2017,Energy,Hfcs,4.788
India,Asia,2010,Waste,N2O,52.143
Brazil,South America,2005,Land Use,N2O,81.421
France,Europe,2011,Industrial Processes,Co2,1.658
Russia,Europe,2018,Agriculture,Hfcs,7.767
Canada,North America,2008,Land Use,Co2,5.64
Australia,Oceania,2018,Industrial Processes,Co2,4.298
Germany,Europe,2017,Land Use,Hfcs,0.241
United States,North America,2011,Agriculture,Sf6,4.859
China,Asia,2012,Manufacturing,Sf6,123.526
China,Asia,2016,Waste,Hfcs,8.895
South Africa,Africa,2020,Industrial Processes,Sf6,0.748
South Africa,Africa,2008,Energy,Ch4,47.815
Germany,Europe,2009,Land Use,Hfcs,0.267
Germany,Europe,2009,Industrial Processes,N2O,1.307
India,Asia,2014,Transport,Co2,123.526
Brazil,South America,2005,Buildings,Co2,5.75
Germany,Europe,2001,,N2O,7.128
China,Asia,2007,Buildings,Hfcs,123.526
South Korea,Asia,2002,Buildings,Sf6,0.717
United States,North America,2018,Buildings,Hfcs,91.218
Indonesia,Asia,2012,Agriculture,Sf6,1.847
Canada,North America,2023,Buildings,Sf6,0.784
Australia,Oceania,2017,Land Use,Co2,5.822
Germany,Europe,2002,Buildings,N2O,10.041
Australia,Oceania,2003,Land Use,Sf6,0.149
France,Europe,2016,Waste,Hfcs,0.1
Japan,Asia,2013,Industrial Processes,Hfcs,2.709
Japan,Asia,2019,Buildings,N2O,10.039
Canada,North America,2022,Industrial Processes,Co2,5.604
Russia,Europe,2019,Industrial Processes,Hfcs,4.95
South Korea,Asia,2000,Energy,N2O,11.584
Japan,Asia,2008,Buildings,Co2,66.163
Mexico,North America,2020,Buildings,N2O,4.931
South Korea,Asia,2001,Transport,Hfcs,4.515
Indonesia,Asia,2011,Agriculture,Ch4,100.937
Canada,North America,2023,Energy,Co2,123.526
Mexico,North America,2022,Transport,Sf6,1.429
Brazil,South America,2015,Buildings,Sf6,0.101
South Korea,Asia,2015,Transport,N2O,12.0
United States,North America,2002,Waste,Hfcs,1.723
Russia,Europe,2015,Transport,N2O,24.847
United Kingdom,Europe,2000,,N2O,7.128
India,Asia,2013,Land Use,Co2,62.825
France,Europe,2017,Agriculture,Co2,5.599
Australia,Oceania,2022,Land Use,Sf6,0.16
China,Asia,2013,Land Use,Hfcs,26.901
United Kingdom,Europe,2001,Energy,Hfcs,3.469
South Africa,Africa,2002,Agriculture,Hfcs,2.629
Canada,North America,2021,Waste,Co2,5.774
Indonesia,Asia,2006,Buildings,Sf6,0.1
South Korea,Asia,2013,Energy,Hfcs,8.12
Australia,Oceania,2005,Waste,Hfcs,0.207
Mexico,North America,2006,Industrial Processes,Co2,2.417
Canada,North America,2023,Energy,N2O,11.58
Brazil,South America,2002,Agriculture,N2O,86.931
Mexico,North America,2004,Land Use,Co2,5.583
South Korea,Asia,2022,Energy,Hfcs,10.049
Japan,Asia,2016,Industrial Processes,Hfcs,2.578
France,Europe,2012,Energy,Hfcs,2.514
Germany,Europe,2021,Energy,N2O,8.743
China,Asia,2010,,Co2,7.128
Germany,Europe,2008,Land Use,Ch4,1.442
United Kingdom,Europe,2017,Agriculture,Ch4,14.825
Germany,Europe,2023,Waste,Co2,3.942
United States,North America,2013,Manufacturing,Ch4,64.389
United States,North America,2002,Transport,N2O,123.526
Indonesia,Asia,2002,Industrial Processes,Sf6,1.241
South Korea,Asia,2019,Waste,Ch4,15.368
China,Asia,2021,Manufacturing,Ch4,123.526
Australia,Oceania,2022,Transport,Sf6,1.008
Mexico,North America,2009,Energy,Ch4,29.948
France,Europe,2020,Agriculture,Co2,5.228
France,Europe,2008,Transport,Co2,89.88
Australia,Oceania,2023,Transport,Ch4,4.803
Japan,Asia,2016,Energy,Sf6,7.373
Japan,Asia,2011,Transport,Co2,123.526
South Korea,Asia,2018,Energy,Co2,123.526
Brazil,South America,2010,Buildings,Ch4,1.394
Russia,Europe,2014,Energy,Ch4,123.526
China,Asia,2020,Buildings,Co2,123.526
United States,North America,2017,Energy,Hfcs,49.514
Canada,North America,2002,Transport,Hfcs,7.228
Germany,Europe,2015,Agriculture,Co2,5.25
India,Asia,2017,Land Use,Ch4,38.917
China,Asia,2002,Waste,N2O,101.324
United Kingdom,Europe,2010,Buildings,Hfcs,7.66
China,Asia,2009,Transport,N2O,123.526
Germany,Europe,2002,Land Use,Sf6,0.1
Germany,Europe,2004,Agriculture,N2O,20.552
India,Asia,2012,Buildings,Co2,123.526
China,Asia,2018,Transport,Sf6,28.752
Canada,North America,2004,Energy,Co2,123.526
United Kingdom,Europe,2001,Manufacturing,Ch4,6.58
Indonesia,Asia,2006,Transport,Co2,90.975
Japan,Asia,2010,Manufacturing,Sf6,10.872
Japan,Asia,2015,Industrial Processes,N2O,1.056
United Kingdom,Europe,2002,Agriculture,Hfcs,1.806
India,Asia,2011,Waste,Hfcs,3.167
Germany,Europe,2015,Manufacturing,Sf6,5.954
Indonesia,Asia,2001,Transport,N2O,13.675
Brazil,South America,2006,Buildings,Hfcs,1.237
South Korea,Asia,2012,Land Use,N2O,2.648
Germany,Europe,2023,Waste,Ch4,12.79
South Africa,Africa,2004,Manufacturing,Hfcs,6.326
,Asia,2012,Land Use,Co2,7.128
China,Asia,2017,Buildings,Co2,123.526
Russia,Europe,2018,Energy,Ch4,123.526
France,Europe,2006,Transport,Sf6,1.147
India,Asia,2017,Waste,Hfcs,3.765
Japan,Asia,2017,Buildings,Co2,58.817
United States,North America,2007,Industrial Processes,N2O,6.028
France,Europe,2009,Waste,Co2,2.07
India,Asia,2002,Land Use,Co2,42.818
Germany,Europe,2023,Energy,Sf6,3.035
China,Asia,2000,Industrial Processes,Sf6,44.569
United States,North America,2023,Agriculture,,7.128
Canada,North America,2003,Transport,Hfcs,7.505
South Africa,Africa,2015,Energy,Sf6,4.719
Japan,Asia,2010,Waste,Co2,5.929
United Kingdom,Europe,2005,Energy,Sf6,2.242
Russia,Europe,2015,Industrial Processes,Sf6,2.735
United Kingdom,Europe,2023,Buildings,,7.128
Brazil,South America,2017,Buildings,Hfcs,1.389
Germany,Europe,2012,Land Use,Hfcs,0.27
United States,North America,2008,Buildings,Hfcs,101.43
France,Europe,2004,Waste,N2O,2.233
Mexico,North America,2004,Land Use,Sf6,0.146
China,Asia,2008,Waste,Ch4,123.526
South Korea,Asia,2002,Energy,Co2,123.526
South Africa,Africa,2020,Transport,Co2,44.301
Australia,Oceania,2020,Agriculture,Co2,7.68
China,Asia,2011,Land Use,Sf6,6.185
Australia,Oceania,2020,Transport,Hfcs,3.386
Canada,North America,2017,Agriculture,Sf6,0.687
Russia,Europe,2014,Transport,N2O,27.771
India,Asia,2023,Buildings,Ch4,100.611
Canada,North America,2016,Waste,Ch4,15.536
China,Asia,2008,Energy,N2O,123.526
Japan,Asia,2019,Manufacturing,Ch4,21.493
Brazil,South America,2011,Buildings,Hfcs,1.346
Canada,North America,2011,Buildings,N2O,8.899
South Korea,Asia,2002,Industrial Processes,Ch4,0.716
United Kingdom,Europe,2016,Agriculture,Sf6,0.321
Japan,Asia,2010,Land Use,Sf6,0.1
Brazil,South America,2020,Buildings,Sf6,0.101
Germany,Europe,2019,Agriculture,Sf6,0.471
United States,North America,2000,Agriculture,Ch4,123.526
France,Europe,2005,Buildings,Hfcs,9.985
Germany,Europe,2018,Energy,Ch4,32.231
Brazil,South America,2018,Land Use,Co2,96.439
Australia,Oceania,2002,Waste,Ch4,11.372
United Kingdom,Europe,2013,Manufacturing,Hfcs,4.582
Germany,Europe,2000,Manufacturing,Sf6,6.021
Mexico,North America,2004,Waste,N2O,4.681
United States,North America,2006,Energy,Ch4,123.526
India,Asia,2020,Transport,N2O,86.732
Canada,North America,2015,Industrial Processes,Sf6,2.212
Brazil,South America,2022,Buildings,Sf6,0.114
China,Asia,2000,Industrial Processes,Ch4,14.531
United Kingdom,Europe,2010,Land Use,Sf6,0.1
Germany,Europe,2015,Buildings,N2O,8.929
France,Europe,2011,Manufacturing,Hfcs,1.692
South Korea,Asia,2017,Manufacturing,Sf6,11.577
Brazil,South America,2019,Manufacturing,Ch4,7.528
Japan,Asia,2000,Manufacturing,Sf6,12.565
Indonesia,Asia,2000,Waste,Ch4,24.035
France,Europe,2000,Land Use,Co2,1.754
Germany,Europe,2012,Buildings,Sf6,0.891
Russia,Europe,2013,Manufacturing,Hfcs,33.137
Indonesia,Asia,2008,Land Use,N2O,66.396
United States,North America,2008,Transport,Hfcs,57.377
Brazil,South America,2004,Energy,Co2,109.758
India,Asia,2012,Energy,Co2,123.526
Germany,Europe,2016,Land Use,Hfcs,0.268
South Africa,Africa,2015,Land Use,Ch4,1.963
Russia,Europe,2022,Buildings,Co2,77.363
Australia,Oceania,2006,Buildings,Sf6,0.36
United States,North America,2019,Waste,Ch4,82.362
Australia,Oceania,2022,Agriculture,N2O,24.529
South Africa,Africa,2014,Land Use,Ch4,2.163
Germany,Europe,2011,Land Use,Hfcs,0.272
Brazil,South America,2011,Manufacturing,Ch4,6.496
Canada,North America,2011,Land Use,Sf6,0.149
Australia,Oceania,2023,Industrial Processes,Co2,4.618
Indonesia,Asia,2013,Agriculture,Sf6,2.064
India,Asia,2014,Waste,N2O,60.591
South Africa,Africa,2013,Land Use,Co2,3.82
South Korea,Asia,2001,Waste,Sf6,0.203
Canada,North America,2022,Manufacturing,Co2,43.299
China,Asia,2005,Agriculture,Co2,122.614
Mexico,North America,2023,Industrial Processes,Co2,2.915
India,Asia,2000,Land Use,Co2,39.235
Canada,North America,2009,Waste,Sf6,0.266
China,Asia,2016,Agriculture,Ch4,123.526
India,Asia,2007,Transport,Ch4,30.074
Indonesia,Asia,2005,Transport,Hfcs,4.085
India,Asia,2017,Manufacturing,Co2,123.526
United States,North America,2010,Industrial Processes,Ch4,2.683
Indonesia,Asia,2013,Land Use,N2O,72.862
Japan,Asia,2007,Manufacturing,Sf6,10.925
South Korea,Asia,2023,Energy,Co2,123.526
United States,North America,2017,Land Use,Co2,39.688
India,Asia,2010,Energy,Co2,123.526
India,Asia,2000,Land Use,N2O,37.328
Russia,Europe,2021,Waste,Ch4,36.07
Canada,North America,2005,Waste,Hfcs,0.31
United Kingdom,Europe,2023,Manufacturing,Hfcs,3.555
United Kingdom,Europe,2018,Agriculture,Co2,2.95
Germany,Europe,2007,Agriculture,Co2,6.022
France,Europe,2014,Land Use,N2O,1.116
United Kingdom,Europe,2006,Energy,N2O,4.637
China,Asia,2012,Energy,Sf6,97.358
Germany,Europe,2021,Agriculture,Hfcs,1.966
China,Asia,2022,Manufacturing,Hfcs,123.526
United States,North America,2019,Agriculture,N2O,123.526
Canada,North America,2012,Manufacturing,Sf6,3.764
Germany,Europe,2005,Buildings,Sf6,1.072
Japan,Asia,2012,Waste,Sf6,0.331
Germany,Europe,2009,Waste,Ch4,14.722
United Kingdom,Europe,2020,Industrial Processes,Sf6,0.369
Russia,Europe,2004,Waste,Co2,11.415
South Korea,Asia,2011,Transport,Hfcs,5.188
United States,North America,2007,Agriculture,Co2,52.72
Germany,Europe,2005,Buildings,N2O,10.554
India,Asia,2012,Industrial Processes,Co2,46.757
Germany,Europe,2020,Agriculture,Hfcs,1.888
South Korea,Asia,2019,Industrial Processes,Sf6,2.776
South Korea,Asia,2010,Transport,Co2,99.04
Brazil,South America,2008,Energy,Hfcs,4.98
Australia,Oceania,2016,Land Use,Ch4,3.023
India,Asia,2009,Buildings,Hfcs,54.631
United Kingdom,Europe,2011,Land Use,N2O,1.218
Mexico,North America,2019,Buildings,Hfcs,7.56
Brazil,South America,2018,Waste,Hfcs,0.439
China,Asia,2014,Buildings,N2O,117.426
Germany,Europe,2014,Transport,N2O,11.369
China,Asia,2017,Industrial Processes,Hfcs,123.526
Indonesia,Asia,2006,Agriculture,N2O,48.011
United Kingdom,Europe,2011,Land Use,Ch4,0.638
China,Asia,2019,Energy,N2O,123.526
Indonesia,Asia,2011,Waste,N2O,8.956
United States,North America,2022,Land Use,Co2,40.435
Indonesia,Asia,2016,Industrial Processes,Hfcs,2.871
Japan,Asia,2022,Industrial Processes,Ch4,0.437
France,Europe,2023,Agriculture,N2O,14.734
South Korea,Asia,2011,Land Use,Hfcs,0.328
China,Asia,2018,Manufacturing,Hfcs,123.526
Indonesia,Asia,2014,Waste,N2O,9.843
Russia,Europe,2014,Industrial Processes,N2O,1.929
Indonesia,Asia,2010,Buildings,Ch4,1.445
India,Asia,2023,,Sf6,7.128
Australia,Oceania,2022,Energy,Co2,123.526
South Korea,Asia,2014,Industrial Processes,Sf6,2.22
France,Europe,2003,Buildings,Hfcs,10.796
South Korea,Asia,2016,Land Use,Sf6,0.1
Mexico,North America,2015,Agriculture,Sf6,0.831
South Korea,Asia,2003,Manufacturing,Sf6,9.617
Australia,Oceania,2010,Transport,Hfcs,3.939
China,Asia,2018,Land Use,Co2,123.526
South Africa,Africa,2022,Energy,N2O,13.12
United Kingdom,Europe,2000,Industrial Processes,Co2,1.927
Canada,North America,2022,Waste,,7.128
Russia,Europe,2003,Buildings,Sf6,1.289
United States,North America,2021,Industrial Processes,Sf6,7.245
Japan,Asia,2006,Industrial Processes,Ch4,5.68
United States,North America,2007,Industrial Processes,Co2,23.575
France,Europe,2010,Land Use,Hfcs,0.14
United Kingdom,Europe,2005,Agriculture,Ch4,22.953
Japan,Asia,2019,Transport,Ch4,9.841
France,Europe,2000,Energy,Sf6,1.87
South Korea,Asia,2016,Agriculture,Ch4,23.117
South Africa,Africa,2020,Land Use,N2O,3.271
Germany,Europe,2005,Transport,Hfcs,6.11
India,Asia,2008,Buildings,Sf6,4.219
Russia,Europe,2004,Industrial Processes,Ch4,1.059
Australia,Oceania,2008,Transport,Hfcs,3.7
Germany,Europe,2004,Agriculture,Co2,6.147
Brazil,South America,2015,Land Use,Co2,94.743
Canada,North America,2019,Manufacturing,N2O,6.978
United States,North America,2010,Transport,Sf6,14.556
China,Asia,2018,Buildings,Co2,123.526
Mexico,North America,2011,Waste,N2O,4.601
South Africa,Africa,2005,Industrial Processes,N2O,0.523
United States,North America,2005,Waste,Hfcs,1.657
Mexico,North America,2014,Energy,N2O,8.137
South Africa,Africa,2021,Waste,Sf6,0.266
United States,North America,2015,Agriculture,Co2,47.087
United Kingdom,Europe,2004,Agriculture,Co2,4.24
Russia,Europe,2010,Manufacturing,N2O,32.554
India,Asia,2015,Transport,N2O,71.455
India,Asia,2005,Transport,N2O,55.086
Indonesia,Asia,2017,Energy,Sf6,7.933
India,Asia,2021,Energy,Sf6,39.523
Indonesia,Asia,2016,Transport,N2O,14.829
Indonesia,Asia,2005,Manufacturing,Co2,48.637
Germany,Europe,2022,Energy,Co2,105.046
United Kingdom,Europe,2018,Industrial Processes,Ch4,0.149
Indonesia,Asia,2000,Agriculture,Ch4,73.924
India,Asia,2001,Buildings,Ch4,51.272
Brazil,South America,2006,Land Use,N2O,86.425
United Kingdom,Europe,2005,Transport,Ch4,5.351
Mexico,North America,2009,Manufacturing,N2O,7.046
Russia,Europe,2006,Buildings,Hfcs,19.368
France,Europe,2000,Manufacturing,Ch4,1.711
India,Asia,2003,Manufacturing,N2O,68.863
Germany,Europe,2019,Energy,Co2,108.929
Brazil,South America,2015,Transport,Sf6,1.495
France,Europe,2019,Industrial Processes,Co2,1.26
South Korea,Asia,2014,Land Use,Ch4,1.501
