country,region,year,industry,gas_type,emissions_mt
France,Europe,2003,Transport,SF6,1.144
South Africa,Africa,2021,Buildings,N2O,2.07
Germany,Europe,2005,Manufacturing,N2O,13.399
United Kingdom,Europe,2007,Agriculture,N2O,
United Kingdom,Europe,2000,Waste,SF6,0.133
Brazil,South America,2000,Land Use,CO2,86.618
Germany,Europe,2010,Manufacturing,CH4,14.114
South Africa,Africa,2017,Transport,CO2,51.997
Mexico,North America,2019,Manufacturing,SF6,3.856
Russia,Europe,2000,Transport,HFCs,11.757
Russia,Europe,2023,Manufacturing,N2O,35.336
United Kingdom,Europe,2022,Manufacturing,SF6,1.67
United Kingdom,Europe,2005,Energy,CO2,81.255
South Korea,Asia,2022,Industrial Processes,CH4,0.906
United States,North America,2014,Energy,HFCs,46.849
United Kingdom,Europe,2003,Land Use,SF6,0.1
Australia,Oceania,2000,Buildings,HFCs,4.898
United Kingdom,Europe,2011,Buildings,SF6,0.546
United States,North America,2003,Land Use,CO2,48.928
Indonesia,Asia,2010,Agriculture,N2O,51.561
United States,North America,2011,Transport,CH4,79.35
Brazil,South America,2004,Land Use,N2O,85.074
United Kingdom,Europe,2001,Transport,HFCs,4.629
France,Europe,2003,Industrial Processes,N2O,0.378
South Korea,Asia,2013,Transport,CH4,5.934
Australia,Oceania,2016,Land Use,HFCs,0.606
United States,North America,2021,Agriculture,CH4,260.688
Indonesia,Asia,2003,Manufacturing,HFCs,6.751
Mexico,North America,2021,Transport,N2O,14.283
Australia,Oceania,2021,Industrial Processes,CO2,4.638
Russia,Europe,2016,Waste,CO2,10.805
India,Asia,2015,Industrial Processes,SF6,
India,Asia,2017,Agriculture,HFCs,52.188
Mexico,North America,2023,Transport,CH4,7.414
Indonesia,Asia,2002,Waste,N2O,7.547
Mexico,North America,2003,Waste,N2O,4.746
South Africa,Africa,2007,Waste,HFCs,0.258
China,Asia,2015,Land Use,HFCs,28.963
South Africa,Africa,2022,Industrial Processes,N2O,0.521
Germany,Europe,2000,Industrial Processes,N2O,1.697
France,Europe,2021,Energy,CO2,47.283
India,Asia,2006,Transport,HFCs,24.773
Brazil,South America,2001,Land Use,CO2,97.923
Germany,Europe,2006,Energy,SF6,4.061
United Kingdom,Europe,2017,Manufacturing,N2O,4.004
China,Asia,2003,Agriculture,CH4,591.167
Canada,North America,2001,Industrial Processes,HFCs,3.491
United States,North America,2013,Transport,CH4,72.487
Germany,Europe,2022,Manufacturing,SF6,5.229
Russia,Europe,2020,Waste,HFCs,0.507
Canada,North America,2018,Manufacturing,,
Indonesia,Asia,2023,Land Use,CO2,116.648
Brazil,South America,2008,Waste,SF6,0.411
South Korea,Asia,2003,Waste,CH4,13.104
China,Asia,2019,Agriculture,SF6,22.071
South Africa,Africa,2010,,CH4,48.53
Indonesia,Asia,2012,Transport,N2O,13.675
United States,North America,2016,Land Use,CH4,19.937
Brazil,South America,2015,Waste,N2O,7.586
United Kingdom,Europe,2007,Energy,HFCs,3.387
India,Asia,2010,Agriculture,HFCs,40.676
France,Europe,2013,Transport,CH4,5.297
Japan,Asia,2019,Energy,SF6,8.158
India,Asia,2015,Buildings,CO2,324.673
China,Asia,2011,Waste,SF6,8.268
Brazil,South America,2020,Transport,SF6,1.357
South Korea,Asia,2006,Transport,CH4,6.007
South Korea,Asia,2011,Waste,N2O,4.413
Indonesia,Asia,2021,Manufacturing,CH4,10.399
Germany,Europe,2016,Waste,CH4,14.419
Brazil,South America,2021,Land Use,CH4,52.124
Australia,Oceania,2023,Agriculture,N2O,23.366
China,Asia,2014,Industrial Processes,HFCs,123.481
Brazil,South America,2008,Waste,CO2,7.279
Mexico,North America,2022,Industrial Processes,N2O,0.596
Brazil,South America,2019,Industrial Processes,N2O,0.972
United States,North America,2023,Waste,CO2,27.21
South Korea,Asia,2017,Transport,HFCs,5.46
South Africa,Africa,2013,,N2O,13.144
South Africa,Africa,2023,Land Use,SF6,0.108
Australia,Oceania,2013,Waste,N2O,3.399
Japan,Asia,2004,Buildings,HFCs,16.877
Mexico,North America,2000,Manufacturing,CO2,47.12
South Africa,Africa,2016,Land Use,CH4,2.114
Germany,Europe,2009,Energy,CH4,35.79
Japan,Asia,2009,Transport,CO2,174.452
Japan,Asia,2006,Energy,SF6,9.105
Indonesia,Asia,2007,Industrial Processes,HFCs,2.223
Japan,Asia,2009,Buildings,CH4,15.978
South Korea,Asia,2015,Buildings,SF6,0.753
South Korea,Asia,2012.0,Manufacturing,N2O,
India,Asia,2022,Industrial Processes,,13.834
Brazil,South America,2005,Industrial Processes,CH4,0.469
Canada,North America,2011,Agriculture,CH4,41.453
Russia,Europe,2008,Manufacturing,HFCs,36.375
Russia,Europe,2017,Agriculture,HFCs,8.197
Russia,Europe,2006,Agriculture,N2O,63.008
Brazil,South America,2004,Industrial Processes,HFCs,2.423
Russia,Europe,2016,Energy,CO2,574.431
Brazil,South America,2007,Industrial Processes,N2O,0.958
India,Asia,2016,Waste,HFCs,-3.491
Canada,North America,2019,Manufacturing,SF6,3.501
Russia,Europe,2011,Land Use,HFCs,1.55
United States,North America,2019,Industrial Processes,HFCs,11.619
France,Europe,2017,Land Use,SF6,0.1
United Kingdom,Europe,2011,Manufacturing,SF6,2.314
China,Asia,2021,Agriculture,N2O,677.976
United States,North America,2013,Agriculture,SF6,4.817
United Kingdom,Europe,2007,Transport,N2O,10.276
India,Asia,2013,Buildings,SF6,5.022
Japan,Asia,2010,Transport,CO2,166.822
Australia,Oceania,2004,Transport,N2O,9.461
Canada,North America,2004,Transport,HFCs,6.939
Australia,Oceania,2019,Agriculture,CH4,46.953
South Africa,Africa,2022,Energy,CO2,169.857
Germany,Europe,2011,Manufacturing,CO2,80.562
South Africa,Africa,2004,Buildings,SF6,0.194
Brazil,South America,2005,Industrial Processes,HFCs,2.336
China,Asia,2012,Buildings,CO2,792.861
United Kingdom,Europe,2011,Waste,SF6,0.109
Germany,Europe,2021,Manufacturing,CO2,75.066
South Africa,Africa,2016,Agriculture,CH4,39.334
United States,North America,2002,Transport,CH4,78.811
South Korea,Asia,2016,Waste,SF6,0.253
India,Asia,2017,Land Use,HFCs,7.136
Indonesia,Asia,2013,Transport,CH4,6.507
South Africa,Africa,2000,Land Use,CO2,3.628
Mexico,North America,2002,Agriculture,SF6,0.696
Japan,Asia,2005,Waste,HFCs,0.351
Germany,Europe,2023,Transport,HFCs,4.154
,North America,2005,Manufacturing,CO2,47.355
France,Europe,2021,Land Use,HFCs,0.119
Japan,Asia,2015,Energy,SF6,7.815
China,Asia,2019,Manufacturing,N2O,545.442
Japan,Asia,2006,Waste,CH4,20.01
Mexico,North America,2012,Buildings,CO2,27.729
Germany,Europe,2015,Waste,SF6,0.251
Germany,Europe,2004,Manufacturing,SF6,7.06
United States,North America,2005,Land Use,SF6,1.058
United Kingdom,Europe,2007,Buildings,CH4,9.416
South Korea,Asia,2008,Land Use,CO2,2.86
Germany,Europe,2012,Transport,HFCs,4.69
India,Asia,2009,Buildings,SF6,4.314
South Korea,Asia,2019,Transport,CH4,6.972
Australia,Oceania,2006,Land Use,CO2,6.298
United States,North America,2003,Land Use,HFCs,4.685
Russia,Europe,2002,Buildings,N2O,14.372
China,Asia,2016,Manufacturing,CH4,452.046
Russia,Europe,2009,Agriculture,SF6,1.782
United States,North America,2005,Waste,N2O,28.682
Indonesia,Asia,2006,Buildings,CO2,5.385
France,Europe,2007,Land Use,HFCs,0.143
Mexico,North America,2016,Manufacturing,N2O,7.255
China,Asia,2014,Transport,CO2,2107.908
Germany,Europe,2006,Industrial Processes,HFCs,
,Oceania,2005,Agriculture,N2O,22.414
China,Asia,2021,Energy,CO2,4589.11
South Korea,Asia,2008,Land Use,CH4,1.498
United States,North America,2017,Energy,N2O,81.194
South Korea,Asia,2014.0,Buildings,CO2,
Mexico,North America,2006,Land Use,SF6,0.157
India,Asia,2018,Waste,CH4,220.435
India,Asia,2001,Agriculture,N2O,209.458
Brazil,South America,2010,Land Use,N2O,89.14
South Korea,Asia,2003,Transport,HFCs,4.181
United States,North America,2004,Waste,SF6,1.831
Germany,Europe,2006,Agriculture,N2O,19.068
United Kingdom,Europe,2010,Manufacturing,HFCs,4.578
China,Asia,2019,Transport,CO2,2556.49
Australia,Oceania,2001,Transport,HFCs,3.447
Mexico,North America,2007,Energy,N2O,7.62
United Kingdom,Europe,2022,Waste,HFCs,0.1
Germany,Europe,2000,Land Use,N2O,2.646
Japan,Asia,2011,Land Use,N2O,0.1
Indonesia,Asia,2022,Buildings,N2O,1.3
India,Asia,2017,Buildings,CO2,354.874
Australia,Oceania,2011,Land Use,N2O,5.401
Russia,Europe,2003,Waste,CH4,38.214
Mexico,North America,2023,Transport,HFCs,5.5
Germany,Europe,2006,Buildings,N2O,9.998
Australia,Oceania,2003,Waste,CH4,
France,Europe,2008,Industrial Processes,HFCs,0.924
United Kingdom,Europe,2005,Transport,SF6,1.036
Mexico,North America,2001,Waste,HFCs,0.248
Canada,North America,2007,Land Use,SF6,0.144
South Africa,Africa,2008,Waste,HFCs,0.259
India,Asia,2019,Transport,CO2,695.661
Australia,Oceania,2011,Manufacturing,SF6,2.506
Australia,Oceania,2020,Agriculture,CH4,43.449
Brazil,South America,2016,Buildings,SF6,0.101
China,Asia,2022,Land Use,CH4,182.558
South Korea,Asia,2000,Energy,CH4,45.717
Indonesia,Asia,2020,Land Use,CH4,51.535
Brazil,South America,2022,Land Use,CO2,104.595
United States,North America,2009,Waste,CO2,30.545
United States,North America,2012,Energy,SF6,36.042
Canada,North America,2002,Buildings,N2O,9.588
Russia,Europe,2015,Manufacturing,SF6,17.86
Brazil,South America,2016,Energy,CO2,132.616
Germany,Europe,2022,Waste,N2O,3.421
South Korea,Asia,2013,Waste,CO2,4.772
India,Asia,2012,Buildings,N2O,49.55
Germany,Europe,2019,Energy,N2O,8.71
India,Asia,2020,Agriculture,N2O,361.114
China,Asia,2002,Energy,CO2,2403.318
,Europe,2009,Manufacturing,N2O,12.536
United Kingdom,Europe,2013,Industrial Processes,CO2,1.438
Germany,Europe,2014,Industrial Processes,HFCs,3.252
Mexico,North America,2008,Industrial Processes,CH4,0.277
Japan,Asia,2018,Waste,N2O,4.838
Mexico,North America,2002,Agriculture,CH4,39.581
United States,North America,2015,Agriculture,N2O,144.61
Mexico,North America,2003,Energy,N2O,7.383
China,Asia,2021,Industrial Processes,SF6,101.902
United States,North America,2015,Manufacturing,HFCs,62.985
Mexico,North America,2008,Waste,SF6,0.244
United States,North America,2013,Waste,SF6,
United States,North America,2023,Manufacturing,CH4,58.201
Japan,Asia,2013,Manufacturing,,22.821
Germany,Europe,2006,Land Use,N2O,2.309
South Korea,Asia,2017,Industrial Processes,CH4,0.849
United States,North America,2022,Transport,CO2,1032.691
Japan,Asia,2000,Agriculture,SF6,0.501
Japan,Asia,2004,Buildings,CH4,16.444
Australia,Oceania,2009,Energy,N2O,9.915
Brazil,South America,2011,Industrial Processes,N2O,1.006
United Kingdom,Europe,2007,Agriculture,CH4,
Canada,North America,2015,Energy,SF6,4.533
South Africa,Africa,2019,Energy,N2O,13.206
Mexico,North America,2006,Agriculture,HFCs,2.704
South Africa,Africa,2006,Transport,SF6,0.621
Japan,Asia,2006,Industrial Processes,SF6,1.655
Japan,Asia,2016,Industrial Processes,SF6,1.437
Russia,Europe,2018,Agriculture,SF6,1.855
India,Asia,2004,Waste,HFCs,2.324
South Africa,Africa,2020,Manufacturing,SF6,3.222
Mexico,North America,2016,Buildings,N2O,4.97
Indonesia,Asia,2007,Agriculture,HFCs,6.476
Brazil,South America,2006,Transport,CO2,113.558
Canada,North America,2015,Energy,,163.514
Japan,Asia,2012,Buildings,SF6,1.027
Germany,Europe,2012,Manufacturing,N2O,
Mexico,North America,2011,Buildings,HFCs,7.024
South Korea,Asia,2012,Transport,HFCs,4.923
United Kingdom,Europe,2010,Buildings,CO2,33.792
Indonesia,Asia,2023,Waste,CO2,13.54
Russia,Europe,2008,Manufacturing,SF6,18.226
Canada,North America,2010,Land Use,HFCs,0.606
France,Europe,2019,Manufacturing,CH4,1.443
United States,North America,2005,Land Use,HFCs,4.653
China,Asia,2001,Transport,CO2,1280.452
Mexico,North America,2005,Transport,SF6,1.197
United States,North America,2000,Manufacturing,CH4,73.095
Russia,Europe,2002,Energy,HFCs,28.893
United States,North America,2015,Buildings,SF6,7.232
United Kingdom,Europe,2017,Land Use,HFCs,0.109
Indonesia,Asia,2022,Manufacturing,CO2,67.047
United Kingdom,Europe,2015,Waste,CH4,5.724
India,Asia,2001,Manufacturing,CO2,453.716
Germany,Europe,2001,Land Use,N2O,2.527
Brazil,South America,2009,Transport,CO2,106.467
Indonesia,Asia,2023.0,Industrial Processes,CH4,0.673
Mexico,North America,2007,Land Use,HFCs,0.663
Indonesia,Asia,2018,Industrial Processes,N2O,1.268
United Kingdom,Europe,2001,Buildings,CO2,45.184
France,Europe,2019,Manufacturing,CO2,9.768
Brazil,South America,2016,Energy,HFCs,5.851
India,Asia,2023,Energy,CO2,1487.354
Mexico,North America,2005,Land Use,CH4,2.866
Canada,North America,2022.0,Land Use,N2O,4.571
France,Europe,2014,Waste,SF6,0.103
Brazil,South America,2002,Energy,SF6,3.489
Germany,Europe,2016,Land Use,SF6,0.1
Canada,North America,2000,Energy,CO2,191.755
Indonesia,Asia,2019,Waste,CO2,12.327
Russia,Europe,2019,Energy,CO2,570.113
Brazil,South America,2014,Manufacturing,CO2,
China,Asia,2000,Industrial Processes,N2O,28.069
China,Asia,2014,Manufacturing,CH4,408.473
Australia,Oceania,2021,Industrial Processes,N2O,1.123
Germany,Europe,2003,Waste,HFCs,0.293
China,Asia,2017,Land Use,HFCs,30.727
South Africa,Africa,2013,Agriculture,HFCs,3.05
United Kingdom,Europe,2009,Manufacturing,CH4,4.704
India,Asia,2010,Manufacturing,CO2,566.904
Canada,North America,2008,Industrial Processes,CO2,6.155
South Africa,Africa,2016,Transport,HFCs,2.304
China,Asia,2022,Energy,CH4,1461.059
China,Asia,2014,Transport,N2O,257.153
South Africa,Africa,2023,Energy,HFCs,8.194
Mexico,North America,2010,,N2O,0.54
India,Asia,2008,Transport,CO2,517.96
Germany,Europe,2008,Transport,CO2,106.959
France,Europe,2015,Energy,N2O,4.044
Canada,North America,2016,Manufacturing,SF6,3.234
Indonesia,Asia,2022,Energy,N2O,23.76
South Korea,Asia,2018,Energy,CH4,
China,Asia,2005,Industrial Processes,SF6,51.921
South Korea,Asia,2021,Transport,CO2,109.252
Mexico,North America,2022,Buildings,N2O,5.578
Brazil,South America,2012,Industrial Processes,N2O,0.969
United States,North America,2015,Industrial Processes,N2O,4.813
Australia,Oceania,2018,Agriculture,CH4,43.362
United States,North America,2023,Buildings,CH4,85.502
United States,North America,2005,Buildings,CO2,478.033
United Kingdom,Europe,2011,Industrial Processes,SF6,0.55
,North America,2009,Land Use,CH4,2.876
Russia,Europe,2003,Transport,CH4,14.776
Indonesia,Asia,2006,Transport,N2O,10.335
India,Asia,2021,Buildings,CH4,106.765
Australia,Oceania,2015,Waste,N2O,3.579
Japan,Asia,2004,Buildings,N2O,11.733
South Korea,Asia,2018,Buildings,N2O,8.128
Canada,North America,2023,Agriculture,SF6,0.695
Brazil,South America,2015,Industrial Processes,CO2,4.402
South Korea,Asia,2011,,N2O,23.03
India,Asia,2022,Waste,SF6,4.139
South Korea,Asia,2000,Land Use,CH4,1.272
Japan,Asia,2001,Land Use,CO2,0.1
Australia,Oceania,2010,Waste,HFCs,0.189
South Korea,Asia,2003,Industrial Processes,CH4,0.691
Germany,Europe,2009,Manufacturing,SF6,6.021
Canada,North America,2000,Energy,HFCs,7.784
Indonesia,Asia,2023,Buildings,CH4,2.206
Canada,North America,2015,Industrial Processes,CH4,0.75
Russia,Europe,2013,Agriculture,HFCs,7.522
,Asia,2009,Land Use,CH4,1.378
China,Asia,2022,Waste,CH4,747.087
Indonesia,Asia,2007,Agriculture,N2O,48.836
Russia,Europe,2020,Agriculture,HFCs,6.708
South Africa,Africa,2013,Transport,N2O,6.569
Russia,Europe,2005,Industrial Processes,HFCs,4.727
Indonesia,Asia,2015,Agriculture,HFCs,7.826
Canada,North America,2013,Manufacturing,SF6,3.482
Australia,Oceania,2006,Transport,CH4,4.718
South Korea,Asia,2011,Industrial Processes,N2O,1.503
Germany,Europe,2022,Waste,CO2,3.811
Mexico,North America,2012,Waste,SF6,0.25
Australia,Oceania,2009,Buildings,HFCs,4.544
China,Asia,2007,Manufacturing,CO2,2146.0
Brazil,South America,2003,,CH4,6.52
United States,North America,2020,Waste,CO2,29.115
Brazil,South America,2009,Agriculture,CH4,156.118
Brazil,South America,2011,Land Use,SF6,2.408
United States,North America,2008,Energy,SF6,34.45
Australia,Oceania,2015,Manufacturing,HFCs,5.379
Canada,North America,2020,Agriculture,N2O,18.095
Indonesia,Asia,2019,Agriculture,N2O,74.458
South Africa,Africa,2016,Energy,CO2,165.935
China,Asia,2013,Waste,SF6,8.688
Mexico,North America,2019,Industrial Processes,CH4,0.292
Japan,Asia,2005,Buildings,CO2,69.593
Russia,Europe,2017,Agriculture,SF6,2.019
France,Europe,2021.0,Manufacturing,N2O,1.462
Germany,Europe,2012,Land Use,N2O,2.167
Brazil,South America,2016,Industrial Processes,CH4,0.515
India,Asia,2018,Transport,HFCs,36.015
India,Asia,2016,Waste,,203.513
Canada,North America,2003,Waste,CH4,17.427
Russia,Europe,2007,Energy,CO2,611.353
France,Europe,2017,Transport,N2O,9.032
Russia,Europe,2007,Buildings,N2O,13.291
Russia,Europe,2015.0,Energy,CO2,568.868
India,Asia,2011,Manufacturing,N2O,96.231
Canada,North America,2021,Waste,CH4,-16.627
Brazil,South America,2022,Industrial Processes,CH4,0.548
Indonesia,Asia,2019,Buildings,SF6,0.136
United Kingdom,Europe,2004,Buildings,N2O,7.13
South Africa,Africa,2010,Waste,CO2,5.182
Japan,Asia,2013,Manufacturing,SF6,10.391
Japan,Asia,2013,Land Use,CO2,0.1
Indonesia,Asia,2005,Industrial Processes,CO2,
Mexico,North America,2017,Buildings,CO2,28.699
France,Europe,2005,Waste,CH4,6.594
South Korea,Asia,2013,Land Use,CH4,1.565
South Africa,Africa,2015,Transport,N2O,5.901
South Korea,Asia,2000,Buildings,SF6,0.603
South Africa,Africa,2017,Land Use,HFCs,0.396
Canada,North America,2004,Waste,HFCs,0.311
Mexico,North America,2013,Land Use,SF6,0.152
France,Europe,2022,Waste,CO2,1.563
Australia,Oceania,2019,Buildings,CH4,5.496
United States,North America,2016,Agriculture,HFCs,17.875
Indonesia,Asia,2009,Manufacturing,HFCs,7.744
South Korea,Asia,2000,Manufacturing,SF6,8.776
Mexico,North America,2003,Land Use,SF6,0.154
United Kingdom,Europe,2023,Transport,HFCs,2.778
India,Asia,2002,Manufacturing,CO2,432.427
,South America,2017,Manufacturing,HFCs,6.684
Australia,Oceania,2005,Buildings,HFCs,5.041
Canada,North America,2007,Buildings,CH4,13.695
Brazil,South America,2007,Land Use,CH4,46.098
Russia,Europe,2002,Buildings,CH4,19.989
South Africa,Africa,2022,Buildings,HFCs,3.213
Mexico,North America,2005,Buildings,CO2,27.191
China,Asia,2006,Energy,HFCs,111.513
China,Asia,2002,Waste,CH4,319.827
United Kingdom,Europe,2011,Waste,HFCs,0.102
,North America,2000,Buildings,CO2,51.158
Mexico,North America,2009,Manufacturing,CO2,42.807
Mexico,North America,2021,Manufacturing,HFCs,8.465
Mexico,North America,2010,Manufacturing,HFCs,7.883
South Africa,Africa,2015,Transport,SF6,0.573
Canada,North America,2019,,HFCs,10.777
Australia,Oceania,2008,Industrial Processes,N2O,1.094
United Kingdom,Europe,2016,Land Use,N2O,
South Korea,Asia,2006,Agriculture,N2O,10.826
Germany,Europe,2000,Land Use,HFCs,0.337
Canada,North America,2017,Agriculture,HFCs,2.898
South Korea,Asia,2022,Waste,CO2,5.386
Canada,North America,2017,Industrial Processes,SF6,1.943
Brazil,South America,2011.0,Agriculture,CH4,152.334
Japan,Asia,2022,Buildings,CH4,13.48
France,Europe,2009,Waste,N2O,1.935
Canada,North America,2009,Agriculture,CH4,39.574
Australia,Oceania,2020,Land Use,CO2,5.775
China,Asia,2000,Waste,SF6,
India,Asia,2022,Energy,CH4,445.042
Brazil,South America,2017,Industrial Processes,HFCs,2.588
Japan,Asia,2017,Transport,SF6,2.085
Russia,Europe,2001,Energy,N2O,47.139
Indonesia,Asia,2023,Waste,N2O,11.967
Canada,North America,2021,Land Use,CO2,5.34
Brazil,South America,2008,Buildings,SF6,0.1
United States,North America,2007,Transport,CO2,1277.994
Germany,Europe,2005,Agriculture,HFCs,
Mexico,North America,2002,Land Use,CO2,6.234
Germany,Europe,2014,Agriculture,N2O,16.723
China,Asia,2002,Waste,HFCs,5.173
Australia,Oceania,2001,Transport,CH4,4.376
Canada,North America,2021,Buildings,HFCs,11.078
France,Europe,2007,Buildings,SF6,0.622
France,Europe,2008,Buildings,HFCs,9.381
,Oceania,2022,Land Use,N2O,5.691
Australia,Oceania,2023,Land Use,HFCs,
South Korea,Asia,2018,Manufacturing,SF6,11.23
Germany,Europe,2013,Land Use,SF6,0.1
South Korea,Asia,2021,Energy,N2O,15.284
South Korea,Asia,2020,Industrial Processes,HFCs,4.043
South Africa,Africa,2011,Buildings,N2O,2.067
Germany,Europe,2012,Waste,HFCs,0.264
Japan,Asia,2023,Buildings,CO2,57.955
South Africa,Africa,2011,Manufacturing,HFCs,7.625
,Asia,2019,Industrial Processes,N2O,1.215
Canada,North America,2003,Energy,N2O,12.145
Indonesia,Asia,2001,,N2O,6.842
Germany,Europe,2021,Manufacturing,CH4,10.896
South Africa,Africa,2002,Energy,SF6,4.698
South Africa,Africa,2012,,CH4,2.832
United States,North America,2000,Agriculture,HFCs,20.615
France,Europe,2004,Energy,HFCs,2.987
Germany,Europe,2011,Manufacturing,SF6,6.504
Australia,Oceania,2006,Energy,CO2,143.618
South Korea,Asia,2009,Industrial Processes,CH4,
Mexico,North America,2006.0,Land Use,CO2,5.653
Mexico,North America,2023,Agriculture,SF6,0.901
Russia,Europe,2005,Transport,HFCs,11.179
Japan,Asia,2008,Transport,HFCs,8.498
Indonesia,Asia,2009,Waste,SF6,0.433
South Korea,Asia,2005,Energy,N2O,12.351
Japan,Asia,2022,Transport,N2O,19.614
China,Asia,2000,Agriculture,CO2,92.329
India,Asia,2018,Transport,N2O,91.023
France,Europe,2022,Energy,CH4,13.616
United States,North America,2011,Waste,CH4,89.037
Indonesia,Asia,2005,Buildings,SF6,0.1
Russia,Europe,2009,Waste,CO2,10.222
Mexico,North America,2017,Buildings,HFCs,6.804
Mexico,North America,2004,Industrial Processes,CO2,2.339
Australia,Oceania,2013,Buildings,CO2,21.309
Australia,Oceania,2017,Industrial Processes,N2O,0.979
United States,North America,2006.0,Manufacturing,CO2,420.928
France,Europe,2020,Industrial Processes,HFCs,0.66
South Africa,Africa,2000,Waste,CH4,
Brazil,South America,2003,Waste,CO2,7.519
Brazil,South America,2013,Industrial Processes,CO2,4.804
China,Asia,2008,Energy,HFCs,118.834
United States,North America,2009,Buildings,SF6,6.958
Germany,Europe,2015,Manufacturing,N2O,11.136
Mexico,North America,2011,Energy,SF6,3.176
China,Asia,2022,Waste,SF6,11.621
France,Europe,2010,Agriculture,N2O,18.146
Russia,Europe,2012,Industrial Processes,SF6,2.929
China,Asia,2012,Manufacturing,CH4,405.615
United Kingdom,Europe,2015,Agriculture,CO2,3.313
Indonesia,Asia,2021,Waste,HFCs,0.75
United Kingdom,Europe,2009,Manufacturing,HFCs,5.055
Japan,Asia,2004,Land Use,HFCs,0.1
Indonesia,Asia,2022,Manufacturing,SF6,5.392
Russia,Europe,2014,Land Use,CO2,14.161
South Africa,Africa,2004,Energy,HFCs,7.042
Brazil,South America,2017,Agriculture,N2O,91.716
Germany,Europe,2013,Transport,CO2,101.058
United States,North America,2005,Industrial Processes,CO2,27.203
United Kingdom,Europe,2022,Energy,SF6,1.34
United States,North America,2011,,HFCs,92.27
Japan,Asia,2008,Waste,CH4,20.078
China,Asia,2006,Manufacturing,CH4,338.405
Indonesia,Asia,2018,Manufacturing,CO2,65.876
United Kingdom,Europe,2000,Transport,HFCs,4.459
China,Asia,2007,Transport,HFCs,76.259
Brazil,South America,2003,Manufacturing,CH4,6.881
Mexico,North America,2000,Waste,N2O,4.636
Brazil,South America,2004,Transport,HFCs,5.299
Germany,Europe,2016,Energy,SF6,3.313
France,Europe,2002,Industrial Processes,CH4,0.215
United Kingdom,Europe,2007,Industrial Processes,HFCs,0.871
United States,North America,2006,Land Use,N2O,37.727
France,Europe,2016,Buildings,N2O,5.893
India,Asia,2018,Industrial Processes,CO2,56.521
United States,North America,2003,Land Use,N2O,38.952
Indonesia,Asia,2007,Transport,HFCs,4.221
Mexico,North America,2018,Industrial Processes,SF6,0.925
China,Asia,2006,Waste,N2O,117.568
United Kingdom,Europe,2020,Buildings,CH4,6.378
Mexico,North America,2009,Manufacturing,CH4,7.241
Japan,Asia,2004,Industrial Processes,SF6,
South Africa,Africa,2005,Agriculture,N2O,19.02
Indonesia,Asia,2004,Buildings,CH4,1.324
Russia,Europe,2004,Transport,HFCs,10.885
Brazil,South America,2001,Energy,HFCs,5.147
Canada,North America,2023,Waste,CO2,5.156
United States,North America,2010,Manufacturing,SF6,33.042
Japan,Asia,2001,Land Use,SF6,0.1
France,Europe,2015,Buildings,SF6,-0.591
Brazil,South America,2000,Transport,CH4,6.051
Australia,Oceania,2016,Energy,N2O,10.691
South Korea,Asia,2002,Manufacturing,CO2,112.628
South Korea,Asia,2010,Waste,N2O,4.07
Russia,Europe,2022,Land Use,CO2,14.293
China,Asia,2015,Buildings,CO2,820.818
China,Asia,2016,Agriculture,N2O,569.702
Indonesia,Asia,2003,Transport,CH4,5.047
Canada,North America,2021,Buildings,N2O,7.753
,Europe,2014,Land Use,HFCs,1.583
South Korea,Asia,2006,Manufacturing,N2O,20.172
South Korea,Asia,2009,Energy,CO2,184.298
Indonesia,Asia,2012,Energy,SF6,7.566
Brazil,South America,2003,Buildings,N2O,0.867
France,Europe,2021,Transport,HFCs,3.583
India,Asia,2014,Industrial Processes,CH4,5.23
Canada,North America,2005,Land Use,N2O,5.076
France,Europe,2014,Waste,CH4,5.834
Brazil,South America,2022,Waste,SF6,0.404
Mexico,North America,2010,Manufacturing,SF6,
South Korea,Asia,2002,Buildings,N2O,7.103
United Kingdom,Europe,2021,Land Use,N2O,1.01
Indonesia,Asia,2012,Buildings,HFCs,1.621
Russia,Europe,2018,Energy,HFCs,
Brazil,South America,2004,Waste,HFCs,0.382
South Africa,Africa,2009,Buildings,CH4,2.717
France,Europe,2008,Waste,SF6,0.104
Australia,Oceania,2001,Buildings,CO2,22.483
United States,North America,2013,Waste,CH4,95.988
Mexico,North America,2011,Agriculture,CO2,7.44
Mexico,North America,2003,Energy,HFCs,4.371
United Kingdom,Europe,2023,Waste,CH4,4.853
France,Europe,2001,Energy,SF6,1.949
Indonesia,Asia,2012,Transport,SF6,1.39
United Kingdom,Europe,2014,Transport,CH4,4.051
South Africa,Africa,2018,Waste,CO2,5.195
China,Asia,2018,Agriculture,CO2,191.699
Brazil,South America,2021,Waste,CO2,8.387
Indonesia,Asia,2011,,CO2,10.647
Japan,Asia,2023,Industrial Processes,HFCs,2.25
South Korea,Asia,2015,Energy,SF6,5.768
United States,North America,2019,Waste,CO2,29.653
Germany,Europe,2000,Agriculture,HFCs,3.082
Australia,Oceania,2018,Energy,CO2,145.593
South Africa,Africa,2018,Land Use,SF6,0.1
India,Asia,2019,Waste,SF6,3.904
Brazil,South America,2015,Buildings,HFCs,1.362
Russia,Europe,2012,Waste,HFCs,0.536
South Korea,Asia,2015,Land Use,HFCs,0.331
Mexico,North America,2010,Energy,SF6,2.985
South Africa,Africa,2003,Energy,CO2,152.288
